"Location","Match Bytes","Match Value","Label","Code Unit"
"8226bea0","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"Hermes::HermesInterface::initServices(Ln 370) - WorldDanceFloorService\""
"8226e123","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","s_VT_WorldDanceFloor_8226e120","ds \"VT_WorldDanceFloor\""
"82270668","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::JoinDanceFloorCommunity_V1\""
"8227069c","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::UpdateAndPoll_V1\""
"822706c8","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::GetRandomPlayers_V1\""
"822706f8","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::GetNumberOfPlayers_V1\""
"82270728","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol\""
"82271316","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"Hermes::RDVInterface::registerFriendProtocols(Ln 1206) - rdv::WorldDanceFloorProtocolClient\""
"8227449c","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"..\\..\\..\\src\\online\\Hermes\\Private\\Services\\WorldDanceFloor\\WorldDanceFloorService.cpp\""
"822744ac","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"..\\..\\..\\src\\online\\Hermes\\Private\\Services\\WorldDanceFloor\\WorldDanceFloorService.cpp\""
"822744d0","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"Hermes::WorldDanceFloorService::JoinDanceFloorCommunity(Ln 27) - TaskRdv_JoinDanceFloorCommunity\""
"82274538","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"Hermes::WorldDanceFloorService::UpdateAndPoll(Ln 41) - TaskRdv_UpdateAndPoll\""
"82274588","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"Hermes::WorldDanceFloorService::GetNumberOfPlayers(Ln 56) - TaskRdv_GetNumberOfPlayers\""
"8227e918","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::JoinDanceFloorCommunity_V1\""
"8227e94c","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","s_WorldDanceFloorProtocol::UpdateA_8227e94c","ds \"WorldDanceFloorProtocol::UpdateAndPoll_V1\""
"8227e978","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::GetRandomPlayers_V1\""
"8227e9a8","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::GetNumberOfPlayers_V1\""
"8227e9d8","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","s_WorldDanceFloorProtocol_8227e9d8","ds \"WorldDanceFloorProtocol\""
"8227ea27","77 6f 72 6c 64 64 61 6e 63 65 66 6c 6f 6f 72","worlddancefloor","s_x:\jd_code\main_legacy\src\onlin_8227e9f0","ds \"x:\\jd_code\\main_legacy\\src\\online\\hermes\\rdvcustomised\\worlddancefloor\\WorldDanceFloorProtocolDDL.h\""
"8227ea37","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","s_x:\jd_code\main_legacy\src\onlin_8227e9f0","ds \"x:\\jd_code\\main_legacy\\src\\online\\hermes\\rdvcustomised\\worlddancefloor\\WorldDanceFloorProtocolDDL.h\""
"8227fa0c","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloor\""
"82281f34","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::JoinDanceFloorCommunity_V1\""
"82281f68","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::UpdateAndPoll_V1\""
"82281f94","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::GetRandomPlayers_V1\""
"82281fc4","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol::GetNumberOfPlayers_V1\""
"82281ff4","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","","ds \"WorldDanceFloorProtocol\""
"822820ac","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","s_..\..\..\src\online\Hermes\Priva_82282080","ds \"..\\..\\..\\src\\online\\Hermes\\Private\\Services\\WorldDanceFloor\\Task\\TaskRDV_WorldDanceFloor.cpp\""
"822820c9","57 6f 72 6c 64 44 61 6e 63 65 46 6c 6f 6f 72","WorldDanceFloor","s_..\..\..\src\online\Hermes\Priva_82282080","ds \"..\\..\\..\\src\\online\\Hermes\\Private\\Services\\WorldDanceFloor\\Task\\TaskRDV_WorldDanceFloor.cpp\""
